# 
# Header Description:
# 
# Version: v3.1.1.1 Platform: 16 Manufacturer: Google Model: Pixel 8a GNSS Hardware Model Name: S.LSI,K041,SPOTNAV_4.15.4_3_250220_R2_258342
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2,CalibrationAccuracy
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2,CalibrationAccuracy
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec,CalibrationAccuracy
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec,CalibrationAccuracy
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT,CalibrationAccuracy
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT,CalibrationAccuracy
# 
# Pressure,utcTimeMillis,elapsedRealtimeNanos,PressureHpa,CalibrationAccuracy
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg,CalibrationAccuracy
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Agc,,9519739752,18,,,,,,,48153,5.199999809265137,1575420032,1
Agc,,9519739752,18,,,,,,,48153,5.199999809265137,1575420032,1
Agc,,9519739752,18,,,,,,,48153,5.199999809265137,1575420032,1
Agc,,9519739752,18,,,,,,,48153,5.199999809265137,1575420032,6
Agc,,9519739752,18,,,,,,,48153,5.199999809265137,1602000000,3
Agc,,9519739752,18,,,,,,,48153,5.199999809265137,1575420032,6
Agc,,9519739752,18,,,,,,,48153,5.199999809265137,1575420032,6
Agc,,9519739752,18,,,,,,,48153,5.199999809265137,1575420032,6
Agc,,9519739752,18,,,,,,,48153,5.199999809265137,1605374976,3
Status,,10,0,1,30,1575420000,25.50,319.9,67.4,1,0,1,22.0
Status,,10,1,1,14,1575420000,26.20,266.9,45.1,1,0,1,22.7
Status,,10,2,1,22,1575420000,37.30,257.3,30.4,1,0,1,33.8
Status,,10,3,1,21,1575420000,32.10,259.0,4.6,0,0,1,28.6
Status,,10,4,3,8,1605375000,25.40,277.2,43.7,1,0,1,21.9
Status,,10,5,3,11,1602000000,30.90,280.4,13.2,1,0,1,27.4
Status,,10,6,6,24,1575420000,25.10,302.9,75.3,1,0,1,21.6
Status,,10,7,6,16,1575420000,24.90,262.6,51.7,1,0,1,21.4
Status,,10,8,6,25,1575420000,34.30,253.1,28.3,1,0,1,30.8
Status,,10,9,6,3,1575420000,29.50,317.2,21.4,1,0,1,26.0
Agc,,10519739385,18,,,,,,,48153,5.199999809265137,1575420032,1
Agc,,10519739385,18,,,,,,,48153,5.199999809265137,1575420032,1
Agc,,10519739385,18,,,,,,,48153,5.199999809265137,1575420032,1
Agc,,10519739385,18,,,,,,,48153,5.199999809265137,1575420032,1
Agc,,10519739385,18,,,,,,,48153,5.199999809265137,1575420032,6
Agc,,10519739385,18,,,,,,,48153,5.199999809265137,1602000000,3
Agc,,10519739385,18,,,,,,,48153,5.199999809265137,1575420032,6
Agc,,10519739385,18,,,,,,,48153,5.199999809265137,1605374976,3
Agc,,10519739385,18,,,,,,,48153,5.199999809265137,1575420032,6
Agc,,10519739385,18,,,,,,,48153,5.199999809265137,1575420032,6
Fix,FLP,40.0191810000,-105.2566363000,1598.9000244140625,0.24784082,11.49,131.50328,1758420794233,1.5,45.0,3247592318000000,0.64241,0,,,
Fix,NLP,40.0191806000,-105.2566358000,1598.9000244140625,,11.49,,1758420794233,,,3247592318000000,1.0,0,,,
Status,,10,0,1,30,1575420000,25.40,319.9,67.4,1,0,1,21.9
Status,,10,1,1,14,1575420000,26.10,266.9,45.1,1,0,1,22.6
Status,,10,2,1,22,1575420000,37.30,257.3,30.4,1,0,1,33.8
Status,,10,3,1,21,1575420000,32.10,259.0,4.6,0,0,1,28.6
Status,,10,4,3,8,1605375000,25.40,277.2,43.7,1,0,1,21.9
Status,,10,5,3,11,1602000000,30.90,280.4,13.2,1,0,1,27.4
Status,,10,6,6,24,1575420000,25.40,302.9,75.3,1,0,1,21.9
Status,,10,7,6,16,1575420000,24.80,262.6,51.7,1,0,1,21.3
Status,,10,8,6,25,1575420000,34.30,253.1,28.3,1,0,1,30.8
Status,,10,9,6,3,1575420000,29.60,317.2,21.4,1,0,1,26.1
Agc,,11519739019,18,,,,,,,48153,5.199999809265137,1575420032,1
Agc,,11519739019,18,,,,,,,48153,5.199999809265137,1575420032,1
Agc,,11519739019,18,,,,,,,48153,5.199999809265137,1575420032,1
Agc,,11519739019,18,,,,,,,48153,5.199999809265137,1575420032,1
Agc,,11519739019,18,,,,,,,48153,5.199999809265137,1575420032,6
Agc,,11519739019,18,,,,,,,48153,5.199999809265137,1602000000,3
Agc,,11519739019,18,,,,,,,48153,5.199999809265137,1575420032,6
